toponym,offset,latitude,longitude
Lodi,1870,45.31357,9.50286
Arcola,1872,44.11854,9.91269
Napoleon,1875,41.39227,-84.12522
France,1876,46.0,2.0
Gorki,1880,56.32867,44.00205
Borodino,1881,55.9061,94.9079
Russia,1885,60.0,100.0
Borodino,1886,55.9061,94.9079
Smolensk,1890,54.7818,32.0401
Moscow,1891,55.75,37.5
Paris,1893,48.85341,2.3488
France,1896,46.0,2.0
Paris,1897,48.85341,2.3488
Rhine,1900,31.98962,-83.20015
Hamburg,1902,53.57532,10.01534
France,1903,46.0,2.0
Vilna,1904,54.68916,25.2798
Moscow,1905,55.75,37.5
Moscow,1906,55.75,37.5
Moscow,1907,55.75,37.5
Vilna,1908,54.68916,25.2798
Kalisch,1909,51.76109,18.09102
Russia,1910,60.0,100.0
Borodino,1911,55.9061,94.9079
Mozhaysk,1912,55.50194,36.02722
Moscow,1914,55.75,37.5
Moscow,1915,55.75,37.5
Borodino,1916,55.9061,94.9079
Moscow,1917,55.75,37.5
Borodino,1918,55.9061,94.9079
Borodino,1919,55.9061,94.9079
Moscow,1920,55.75,37.5
Smolensk,1921,54.7818,32.0401
France,1922,46.0,2.0
Borodino,1923,55.9061,94.9079
Paris,1926,48.85341,2.3488
Russia,1927,60.0,100.0
Smolensk,1928,54.7818,32.0401
Smolensk,1929,54.7818,32.0401
Borodino,1930,55.9061,94.9079
Moscow,1931,55.75,37.5
Borodino,1932,55.9061,94.9079
Moscow,1933,55.75,37.5
Moscow,1934,55.75,37.5
Moscow,1935,55.75,37.5
Kaluga,1936,54.5293,36.27542
Smolensk,1937,54.7818,32.0401
Smolensk,1938,54.7818,32.0401
Berezina,1939,46.22968,29.20436
Vilna,1940,54.68916,25.2798
Borodino,1941,55.9061,94.9079
Moscow,1942,55.75,37.5
Moscow,1943,55.75,37.5
Moscow,1944,55.75,37.5
Kaluga,1945,54.5293,36.27542
Moscow,1946,55.75,37.5
Kaluga,1947,54.5293,36.27542
Kaluga,1948,54.5293,36.27542
Kaluga,1949,54.5293,36.27542
Petersburg,1950,59.89444,30.26417
Moscow,1951,55.75,37.5
Kaluga,1952,54.5293,36.27542
Moscow,1953,55.75,37.5
Moscow,1954,55.75,37.5
Smolensk,1955,54.7818,32.0401
Borodino,1957,55.9061,94.9079
Borodino,1958,55.9061,94.9079
Moscow,1959,55.75,37.5
Moscow,1960,55.75,37.5
Moscow,1962,55.75,37.5
Moscow,1963,55.75,37.5
Moscow,1964,55.75,37.5
Salamanca,1965,40.96882,-5.66388
Saragossa,1966,41.65606,-0.87734
Moscow,1967,55.75,37.5
Moscow,1968,55.75,37.5
Moscow,1969,55.75,37.5
Moscow,1971,55.75,37.5
Moscow,1972,55.75,37.5
Moscow,1973,55.75,37.5
Turkey,1974,39.05901,34.91155
Russia,1975,60.0,100.0
Russia,1977,60.0,100.0
Russia,1978,60.0,100.0
Russia,1979,60.0,100.0
Moscow,1980,55.75,37.5
Moscow,1981,55.75,37.5
Moscow,1982,55.75,37.5
Moscow,1983,55.75,37.5
Moscow,1984,55.75,37.5
Moscow,1985,55.75,37.5
Moscow,1986,55.75,37.5
Borodino,1987,55.9061,94.9079
Moscow,1988,55.75,37.5
Moscow,1989,55.75,37.5
Moscow,1990,55.75,37.5
Smolensk,1991,54.7818,32.0401
Moscow,1992,55.75,37.5
Moscow,1993,55.75,37.5
Moscow,1994,55.75,37.5
Moscow,1995,55.75,37.5
Moscow,1996,55.75,37.5
Vienna,1997,48.20849,16.37208
Moscow,1999,55.75,37.5
Borodino,2000,55.9061,94.9079
Moscow,2001,55.75,37.5
Three Hills,2002,51.70012,-113.26863
Moscow,2003,55.75,37.5
Moscow,2004,55.75,37.5
Saratov,2005,51.54056,46.00861
Russia,2006,60.0,100.0
Moscow,2007,55.75,37.5
Moscow,2008,55.75,37.5
Moscow,2009,55.75,37.5
Moscow,2010,55.75,37.5
Moscow,2011,55.75,37.5
Moscow,2012,55.75,37.5
Three Hills,2013,51.70012,-113.26863
Moscow,2014,55.75,37.5
Moscow,2015,55.75,37.5
Vilna,2016,54.68916,25.2798
Petersburg,2017,59.89444,30.26417
Petersburg,2018,59.89444,30.26417
Vilna,2019,54.68916,25.2798
Petersburg,2020,59.89444,30.26417
Columbus,2023,39.96118,-82.99879
Petersburg,2024,59.89444,30.26417
Petersburg,2025,59.89444,30.26417
Petersburg,2026,59.89444,30.26417
Petersburg,2027,59.89444,30.26417
Borodino,2028,55.9061,94.9079
Borodino,2029,55.9061,94.9079
Mozhaysk,2031,55.50194,36.02722
Mozhaysk,2032,55.50194,36.02722
Mozhaysk,2033,55.50194,36.02722
Torzhok,2034,57.0436,34.96221
Mozhaysk,2036,55.50194,36.02722
Moscow,2037,55.75,37.5
Moscow,2038,55.75,37.5
Moscow,2039,55.75,37.5
Moscow,2041,55.75,37.5
Moscow,2042,55.75,37.5
Mozhaysk,2043,55.50194,36.02722
Moscow,2044,55.75,37.5
Russia,2047,60.0,100.0
Moscow,2049,55.75,37.5
Moscow,2050,55.75,37.5
Belaya Tserkov,2051,49.80939,30.11209
Petersburg,2053,59.89444,30.26417
Moscow,2054,55.75,37.5
Voronezh,2058,51.67204,39.1843
Moscow,2059,55.75,37.5
Moscow,2060,55.75,37.5
Ryazan,2061,54.6269,39.6916
Moscow,2062,55.75,37.5
Moscow,2063,55.75,37.5
Borodino,2064,55.9061,94.9079
Moscow,2065,55.75,37.5
Moscow,2066,55.75,37.5
Moscow,2067,55.75,37.5
Moscow,2068,55.75,37.5
Moscow,2069,55.75,37.5
Moscow,2070,55.75,37.5
Moscow,2071,55.75,37.5
Belaya Tserkov,2074,49.80939,30.11209
Moscow,2075,55.75,37.5
Moscow,2076,55.75,37.5
Petersburg,2077,59.89444,30.26417
Moscow,2079,55.75,37.5
Kremlin,2082,36.54725,-97.83145
Three Hills,2083,51.70012,-113.26863
Kiev,2085,50.45466,30.5238
Saxony,2086,51.0,13.25
Moscow,2089,55.75,37.5
Moscow,2090,55.75,37.5
Moscow,2091,55.75,37.5
Three Hills,2092,51.70012,-113.26863
Moscow,2093,55.75,37.5
Moscow,2094,55.75,37.5
Moscow,2096,55.75,37.5
Moscow,2097,55.75,37.5
