toponym,offset
"Rock
Island Railroad",923
Omaha,924
Iowa,925
Iowa City,926
Mississippi,927
Davenport,928
Rock Island,929
Illinois,930
Chicago,931
Lake Michigan,932
Chicago,933
New York,934
Chicago,935
Pittsburgh,936
Fort Wayne,937
Chicago Railway,938
Indiana,939
Ohio,940
Pennsylvania,941
New Jersey,942
Hudson,943
China,944
China,945
Hamburg,946
Liverpool,947
London,948
Southampton,949
Atlantic,950
Hudson,951
Jersey City,952
Broadway,953
Aouda,954
China,955
Atlantic,956
Liverpool,957
London,958
Hudson,959
London,960
Cardiff,961
China,962
Bordeaux,963
Bordeaux,964
New York,965
Hong Kong,966
Atlantic,967
Bordeaux,968
St. Nicholas,969
England,970
Hudson,971
Long Island,972
Liverpool,973
Bordeaux,974
Liverpool,975
New York,976
Liverpool,977
Liverpool,978
Newfoundland,979
London,980
New York,981
Bordeaux,982
New York,983
Liverpool,984
Liverpool,985
London,986
New York,987
Queenstown,988
London,989
Queenstown,990
Queenstown,991
Queenstown,992
Dublin,993
Dublin,994
Liverpool,995
Atlantic,996
Liverpool,997
London,998
Queenstown Harbour,999
Dublin,1000
Liverpool,1001
London,1002
LONDON,1003
London,1004
Liverpool,1005
Liverpool,1006
London,1007
London,1008
Aouda,1009
Aouda,1010
London,1011
London,1012
London,1013
Saville,1014
Barings,1015
Saville Row,1016
Liverpool,1017
England,1018
Saville Row,1019
Westminster,1020
Aouda,1021
England,1022
India,1023
Marylebone,1024
Aouda,1025
Edinburgh,1026
London,1027
America,1028
Asia,1029
Saville,1030
Pall Mall,1031
China,1032
New York,1033
America,1034
London,1035
Saville Row,1036
London,1037
London,1038
London,1039
India,1040
India,1041
United States,1042
United States,1043
United States,1044
United States,1045
United States,1046
United States,1047
"United
States",1048
United States,1049
Mississippi,1050
U.S.,1051
"Melan Dr. S.
Fairbanks",1052
Salt Lake City,1053
UT,1054
"United
States",1055
United States,1056
U.S.,1057
U.S.,1058
